S. No,Paper_ID,Forum_URL,Review(Metadata),Reviwer_ID,Low_Confidence_Strong_Judgment,Vague_Criticism_Without_References,Harsh_Language_Without_Justification,One-Sided_Review,Missing_Citation_For_Prior_Work_Claims,Overfocus_on_Minor_Issues,Non-Actionable_Feedback,Short_Review_Length_Strong_Decision,Bias_label,Reason,Comment
1,ZjuEPZJsa3,https://openreview.net/forum?id=ZjuEPZJsa3,ICLR.cc/2025/Conference/Submission9878/Reviewer_RdFV,RdFV,,,,,,,,,,,
2,K7xpl3LZQp,https://openreview.net/forum?id=K7xpl3LZQp,ICLR.cc/2025/Conference/Submission13438/Reviewer_PhEj,PhEj,,,,,,,,,,,
3,JbOsMrwjZ3,https://openreview.net/forum?id=JbOsMrwjZ3,ICLR.cc/2024/Conference/Submission1271/Reviewer_p2gV,p2gV,,,,,,,,,,,
4,xw29VvOMmU,https://openreview.net/forum?id=xw29VvOMmU,ICLR.cc/2024/Conference/Submission6703/Reviewer_bc89,bc89,,,,,,,,,,,
5,PwoplYNsBI,https://openreview.net/forum?id=PwoplYNsBI,ICLR.cc/2024/Conference/Submission4080/Reviewer_5pB8,5pB8,,,,,,,,,,,
6,uZmmgHY1mD,https://openreview.net/forum?id=uZmmgHY1mD,ICLR.cc/2025/Conference/Submission8710/Reviewer_EeBp,EeBp,,,,,,,,,,,
7,8ishA3LxN8,https://openreview.net/forum?id=8ishA3LxN8,ICLR.cc/2024/Conference/Submission1937/Reviewer_Hp3C,Hp3C,,,,,,,,,,,
8,JDiER86r8v,https://openreview.net/forum?id=JDiER86r8v,ICLR.cc/2025/Conference/Submission2429/Reviewer_69ie,69ie,,,,,,,,,,,
9,ZiYdjVDgYY,https://openreview.net/forum?id=ZiYdjVDgYY,ICLR.cc/2024/Conference/Submission6699/Reviewer_FQaF,FQaF,,,,,,,,,,,
10,BifeBRhikU,https://openreview.net/forum?id=BifeBRhikU,ICLR.cc/2024/Conference/Submission3635/Reviewer_tXaS,tXaS,,,,,,,,,,,
11,K2jOacHUlO,https://openreview.net/forum?id=K2jOacHUlO,ICLR.cc/2025/Conference/Submission8980/Reviewer_Z5rk,Z5rk,,,,,,,,,,,
12,likXVjmh3E,https://openreview.net/forum?id=likXVjmh3E,ICLR.cc/2024/Conference/Submission2990/Reviewer_SRgL,SRgL,,,,,,,,,,,
13,x7cuUZxwFS,https://openreview.net/forum?id=x7cuUZxwFS,ICLR.cc/2024/Conference/Submission5624/Reviewer_eeiy,eeiy,,,,,,,,,,,
14,zOjW6yVYkE,https://openreview.net/forum?id=zOjW6yVYkE,ICLR.cc/2024/Conference/Submission251/Reviewer_oRp9,oRp9,,,,,,,,,,,
15,nFMS6wF2xq,https://openreview.net/forum?id=nFMS6wF2xq,ICLR.cc/2024/Conference/Submission2579/Reviewer_zGd6,zGd6,,,,,,,,,,,
16,Pui7Sa6Jwi,https://openreview.net/forum?id=Pui7Sa6Jwi,ICLR.cc/2025/Conference/Submission10641/Reviewer_UCLi,UCLi,,,,,,,,,,,
17,GrRZz9qqJp,https://openreview.net/forum?id=GrRZz9qqJp,ICLR.cc/2024/Conference/Submission2984/Reviewer_zZgx,zZgx,,,,,,,,,,,
18,vyHFTsOUWu,https://openreview.net/forum?id=vyHFTsOUWu,ICLR.cc/2025/Conference/Submission5056/Reviewer_uWBN,uWBN,,,,,,,,,,,
19,IBOeJJUYaC,https://openreview.net/forum?id=IBOeJJUYaC,ICLR.cc/2025/Conference/Submission1291/Reviewer_DPie,DPie,,,,,,,,,,,
20,kFoJXqiGKz,https://openreview.net/forum?id=kFoJXqiGKz,ICLR.cc/2025/Conference/Submission9743/Reviewer_AGZj,AGZj,,,,,,,,,,,
21,hVwS9KkY6V,https://openreview.net/forum?id=hVwS9KkY6V,ICLR.cc/2025/Conference/Submission2225/Reviewer_uJ5q,uJ5q,,,,,,,,,,,
22,ykhRO1mAg3,https://openreview.net/forum?id=ykhRO1mAg3,ICLR.cc/2024/Conference/Submission1559/Reviewer_yeXC,yeXC,,,,,,,,,,,
23,byofn4HN8F,https://openreview.net/forum?id=byofn4HN8F,ICLR.cc/2025/Conference/Submission13240/Reviewer_Apm1,Apm1,,,,,,,,,,,
24,abRWxnjMIz,https://openreview.net/forum?id=abRWxnjMIz,ICLR.cc/2025/Conference/Submission11453/Reviewer_PaVP,PaVP,,,,,,,,,,,
25,0bswm093Yl,https://openreview.net/forum?id=0bswm093Yl,ICLR.cc/2025/Conference/Submission3577/Reviewer_MdoR,MdoR,,,,,,,,,,,
26,n9CqhWGK4o,https://openreview.net/forum?id=n9CqhWGK4o,ICLR.cc/2024/Conference/Submission3279/Reviewer_MUv9,MUv9,,,,,,,,,,,
27,likXVjmh3E,https://openreview.net/forum?id=likXVjmh3E,ICLR.cc/2024/Conference/Submission2990/Reviewer_YxPR,YxPR,,,,,,,,,,,
28,jDpdQPMosW,https://openreview.net/forum?id=jDpdQPMosW,ICLR.cc/2025/Conference/Submission4923/Reviewer_8DjM,8DjM,,,,,,,,,,,
29,hkWHdI8ss5,https://openreview.net/forum?id=hkWHdI8ss5,ICLR.cc/2024/Conference/Submission154/Reviewer_JToQ,JToQ,,,,,,,,,,,
30,r4GxmIBDbO,https://openreview.net/forum?id=r4GxmIBDbO,ICLR.cc/2025/Conference/Submission2184/Reviewer_zsrq,zsrq,,,,,,,,,,,
31,5fRlsiNDZR,https://openreview.net/forum?id=5fRlsiNDZR,ICLR.cc/2025/Conference/Submission3349/Reviewer_NFDH,NFDH,,,,,,,,,,,
32,liqUhMECuY,https://openreview.net/forum?id=liqUhMECuY,ICLR.cc/2025/Conference/Submission5677/Reviewer_FeJE,FeJE,,,,,,,,,,,
33,kBVPD2kJMy,https://openreview.net/forum?id=kBVPD2kJMy,ICLR.cc/2025/Conference/Submission9628/Reviewer_ZmnJ,ZmnJ,,,,,,,,,,,
34,cMLtjP3Cym,https://openreview.net/forum?id=cMLtjP3Cym,ICLR.cc/2025/Conference/Submission6449/Reviewer_5rTZ,5rTZ,,,,,,,,,,,
35,8euJaTveKw,https://openreview.net/forum?id=8euJaTveKw,ICLR.cc/2024/Conference/Submission7178/Reviewer_WpqT,WpqT,,,,,,,,,,,
36,bgpNJBD6Va,https://openreview.net/forum?id=bgpNJBD6Va,ICLR.cc/2025/Conference/Submission13392/Reviewer_xrBo,xrBo,,,,,,,,,,,
37,z282NEQDbF,https://openreview.net/forum?id=z282NEQDbF,ICLR.cc/2024/Conference/Submission4224/Reviewer_xswU,xswU,,,,,,,,,,,
38,XcFJZORJgY,https://openreview.net/forum?id=XcFJZORJgY,ICLR.cc/2025/Conference/Submission9521/Reviewer_vRMK,vRMK,,,,,,,,,,,
39,5IkDAfabuo,https://openreview.net/forum?id=5IkDAfabuo,ICLR.cc/2025/Conference/Submission3226/Reviewer_8yrp,8yrp,,,,,,,,,,,
