paper_id,title,abstract,authors,authorids,keywords,primary_area,venue,year,pdf_url,forum_url
PxL35zAxvT,Test Time Adaptation with Auxiliary Tasks,"This work work tackles a key challenge in Test Time Adaptation~(TTA): adapting on limited data. This challenge arises naturally from two scenarios. (i) Current TTA methods are limited by the bandwidth with which the stream reveals data, since conducting several adaptation steps on each revealed batch from the stream will lead to overfitting. (ii) In many realistic scenarios, the stream reveals insufficient data for the model to fully adapt to a given distribution shift. We tackle the first scenario problem with auxiliary tasks where we leverage unlabeled data from the training distribution. In particular, we propose distilling the predictions of an originally pretrained model on clean data during adaptation. We found that our proposed auxiliary task significantly accelerates the adaptation to distribution shifts. We report a performance improvement over the state of the art by 1.5% and 6% on average across all corruptions on ImageNet-C under episodic and continual evaluation, respectively. To combat the second scenario of limited data, we analyze the effectiveness of combining federated adaptation with our proposed auxiliary task across different models even when different clients observe different distribution shifts. We find that not only federated averaging enhances adaptation, but combining it with our auxiliary task provides a notable 6% performance improvement over previous TTA methods.","Motasem Alfarra, Alvaro Correia, Bernard Ghanem, Christos Louizos","~Motasem_Alfarra1, ~Alvaro_Correia1, ~Bernard_Ghanem1, ~Christos_Louizos1","Test Time Adaptation, Auxiliary Tasks","transfer learning, meta learning, and lifelong learning",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=PxL35zAxvT,https://openreview.net/forum?id=PxL35zAxvT
ZiYdjVDgYY,Online Learning in Varying Feature Spaces with Informative Variation,"Most conventional online learning literature implicitly assumed a static feature space, while in practice the feature space may vary over time with the emerging of new features and vanishing of outdated features, which is named as online learning with Varying Feature Space (VFS). There have been increasing attention that initiated the exploration into this novel online learning paradigm. However, none of them was aware of the potentially informative information embodied as presence / absence (i.e., variation in this paper) for each feature, which indicates that the existence of some features of this VFS can be correlated with the class labels. Such information can be potentially beneficial to predictive performance if properly used for the learning purpose. To this end, we formally formulate this specific learning scenario, namely Online learning in Varying Feature space with Informative Variation (OVFIV), and present a learning framework to address this problem. The essence of the framework aim for answering the following two questions: how to learn a model to capture the association of the existence of features with the class labels and how to incorporate such information into the prediction process in order to gain performance improvement. Theoretical analyses and empirical studies based on 17 datasets from diverse fields verify the validity of our proposed method.","Peijia Qin, Liyan Song, Xin Yao","~Peijia_Qin1, ~Liyan_Song1, ~Xin_Yao1","online learning, varying feature space, variation feature space, infomative message","unsupervised, self-supervised, semi-supervised, and supervised representation learning",ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=ZiYdjVDgYY,https://openreview.net/forum?id=ZiYdjVDgYY
PwoplYNsBI,Demystifying the Myths and Legends of Nonconvex Convergence of SGD,"Stochastic gradient descent (SGD) and its variants are the main workhorses for solving large-scale optimization problems with nonconvex objective functions. Although the convergence of SGDs in the (strongly) convex case is well-understood, their convergence for nonconvex functions stands on weak mathematical foundations. Most existing studies on the nonconvex convergence of SGD show the complexity results based on either the minimum of the expected gradient norm or the functional sub-optimality gap (for functions with extra structural property) by searching the entire range of iterates. Hence the last iterations of SGDs do not necessarily maintain the same complexity guarantee. This paper shows that an $\epsilon$-stationary point exists in the final iterates of SGDs, given a large enough total iteration budget, $T$, not just anywhere in the entire range of iterates --- a much stronger result than the existing one. Additionally, our analyses allow us to measure the \emph{density of the $\epsilon$-stationary points} in the final iterates of SGD, and we recover the classical ${O(\frac{1}{\sqrt{T}})}$ asymptotic rate under various existing assumptions on the objective function and the bounds on the stochastic gradient. As a result of our analyses, we addressed certain myths and legends related to the nonconvex convergence of SGD and posed some thought-provoking questions that could set new directions for research.","Aritra Dutta, El houcine Bergou, Soumia Boucherouite, Nicklas Werge, Melih Kandemir, Xin Li","~Aritra_Dutta1, ~El_houcine_Bergou1, ~Soumia_Boucherouite1, ~Nicklas_Werge1, ~Melih_Kandemir1, ~Xin_Li39","Stochastic gradient descent, nonconvex optimization, nonsmooth optimization, random-reshuffling stochstic gradient descent, nonconvex convergence",optimization,ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=PwoplYNsBI,https://openreview.net/forum?id=PwoplYNsBI
KY8ZNcljVU,NetInfoF Framework: Measuring and Exploiting Network Usable Information,"Given a node-attributed graph, and a graph task (link prediction or node classification), can we tell if a graph neural network (GNN) will perform well? More specifically, do the graph structure and the node features carry enough usable information for the task? Our goals are
(1) to develop a fast tool to measure how much information is in the graph structure and in the node features, and
(2) to exploit the information to solve the task, if there is enough.
We propose NetInfoF, a framework including NetInfoF_Probe and NetInfoF_Act, for the measurement and the exploitation of network usable information (NUI), respectively. Given a graph data, NetInfoF_Probe measures NUI without any model training, and NetInfoF_Act solves link prediction and node classification, while two modules share the same backbone.
In summary, NetInfoF has following notable advantages:
(a) General, handling both link prediction and node classification;
(b) Principled, with theoretical guarantee and closed-form solution;
(c) Effective, thanks to the proposed adjustment to node similarity;
(d) Scalable, scaling linearly with the input size.
In our carefully designed synthetic datasets, NetInfoF correctly identifies the ground truth of NUI and is the only method being robust to all graph scenarios. Applied on real-world datasets, NetInfoF wins in 11 out of 12 times on link prediction compared to general GNN baselines.","Meng-Chieh Lee, Haiyang Yu, Jian Zhang, Vassilis N. Ioannidis, Xiang song, Soji Adeshina, Da Zheng, Christos Faloutsos","~Meng-Chieh_Lee1, ~Haiyang_Yu6, ~Jian_Zhang32, ~Vassilis_N._Ioannidis1, ~Xiang_song1, ~Soji_Adeshina1, ~Da_Zheng1, ~Christos_Faloutsos1","Graph Neural Networks, Information Theory, Heterophily Graphs",learning on graphs and other geometries & topologies,ICLR 2024 spotlight,2024,https://openreview.net/pdf?id=KY8ZNcljVU,https://openreview.net/forum?id=KY8ZNcljVU
vRgMxGmEz9,SAM-guided Unsupervised Domain Adaptation for 3D Segmentation,"Unsupervised domain adaptation (UDA) in 3D segmentation tasks presents a formidable challenge, primarily stemming from the sparse and unordered nature of point cloud data.  Especially for LiDAR point clouds, the domain discrepancy becomes obvious across varying capture scenes, fluctuating weather conditions, and the diverse array of LiDAR devices in use. While previous UDA methodologies have often sought to mitigate this gap by aligning features between source and target domains, this approach falls short when applied to 3D segmentation due to the substantial domain variations. Inspired by the remarkable generalization capabilities exhibited by the vision foundation model, SAM, in the realm of image segmentation, our approach leverages the wealth of general knowledge embedded within SAM to unify feature representations across diverse 3D domains, and further solves the 3D domain adaptation problem. Specifically, we harness the corresponding images associated with point clouds to facilitate knowledge transfer and propose an innovative hybrid feature augmentation methodology, which significantly enhances the alignment between the 3D feature space and SAM's feature space, operating at both the scene and instance levels. Our method is evaluated on many widely-recognized datasets, and achieves state-of-the-art performance.","Xidong Peng, Runnan Chen, Feng Qiao, Lingdong Kong, Youquan Liu, Tai Wang, Xinge ZHU, Yuexin Ma","~Xidong_Peng1, ~Runnan_Chen1, ~Feng_Qiao1, ~Lingdong_Kong1, ~Youquan_Liu1, ~Tai_Wang2, ~Xinge_ZHU2, ~Yuexin_Ma2","scene understanding, 3D segmentation, unsupervised domain adaptation, vision foundation model","unsupervised, self-supervised, semi-supervised, and supervised representation learning",ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=vRgMxGmEz9,https://openreview.net/forum?id=vRgMxGmEz9
85Af6AcMo5,SciRE-Solver: Accelerating  Diffusion Models Sampling by Score-integrand Solver with Recursive Difference,"One downside of Diffusion models (DMs) is their slow iterative process. Recent algorithms for fast sampling are designed from the 
differential equations. However, in the fast algorithms, estimating the derivative of the score function evaluations becomes intractable due to the complexity of large-scale, well-trained neural networks.  In this work, we introduce the recursive difference method to calculate the derivative of the score function networks. Building upon, we propose \emph{SciRE-Solver} with the convergence order guarantee for accelerating DMs sampling. Our proposed sampling algorithms attain SOTA FIDs in comparison to existing training-free sampling algorithms, 
under various number of score function evaluations (NFE).   Such as, we achieve $3.48$ FID with $12$ NFE, and $2.42$ FID with $20$ NFE for continuous-time model on CIFAR-10;  $1.79$ FID with $20$ NFE and  $1.76$ FID with $100$ NFE for the pretrained model of EDM. Experiments demonstrate also that demonstrate that SciRE-Solver with multi-step methods can achieve high-quality samples on popular text-to-image generation tasks with only 6$\sim$20 NFEs.","Shigui Li, Wei Chen, Delu Zeng","~Shigui_Li2, ~Wei_Chen52, ~Delu_Zeng4","Diffusion Models, Sampler, Accelerating",generative models,Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=85Af6AcMo5,https://openreview.net/forum?id=85Af6AcMo5
NFAjyyeSfB,Enhancing Image Restoration Transformer with Adaptive Token Dictionary,"Image restoration is a classic computer vision problem that involves estimating high-quality (HQ) images from low-quality (LQ) ones. To compensate the information loss in the degradation process, prior knowledge of HQ image is indispensable. While deep neural networks (DNNs), especially Transformers for image restoration, have seen significant advancements in recent years, challenges still remain, particularly in the explicit incorporation of external priors, managing computational complexity, and tailoring generalized external priors to image specifics. To address these issues, we propose to enhance Transformer with Adaptive Token Dictionary (ATD), leading to a novel architecture which introduces a token dictionary to explicitly model external prior in the attention mechanism. The proposed ATD calculates the attention between the input features and the token dictionary, which integrates similar features on a global scale. Furthermore, we propose an adaptive dictionary refinement mechanism (ADR) to progressively customize the shared tokens to image specifics from shallow to deep layers. Crucially, benefiting from the condensed token dictionary, the computational complexity of the new attention mechanism is reduced from quadratic to linear with respect to the number of image tokens. This efficiency makes our network notably advantageous in constrained settings. Experimental results show that our method achieves best performance on various image restoration benchmark.","Leheng Zhang, Yawei Li, Xingyu Zhou, Xiaorui Zhao, Shuhang Gu","~Leheng_Zhang2, ~Yawei_Li1, ~Xingyu_Zhou4, ~Xiaorui_Zhao1, ~Shuhang_Gu3","image restoration, transformer, dictionary learning","unsupervised, self-supervised, semi-supervised, and supervised representation learning",ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=NFAjyyeSfB,https://openreview.net/forum?id=NFAjyyeSfB
Uhxtq4nCzS,"Divergence at the Interpolation Threshold: Identifying, Interpreting & Ablating the Sources of a Deep Learning Puzzle","Machine learning models misbehave, often in unexpected ways. One prominent misbehavior is when the test loss diverges at the interpolation threshold, perhaps best known from its distinctive appearance in double descent. While considerable theoretical effort has gone into understanding generalization of overparameterized models, less effort has been made at understanding why the test loss misbehaves at the interpolation threshold. Moreover, analytically solvable models in this area employ a range of assumptions and use complex techniques from random matrix theory, statistical mechanics, and kernel methods, making it difficult to assess when and why test error might diverge; for instance, recent work found a divergence in noise-free toy nonlinear autoencoders, surprising the authors and raising questions about whether such an outcome should have been anticipated. In this work, we analytically study the simplest supervised model - ordinary linear regression - and show intuitively and rigorously when and why a divergence occurs at the interpolation threshold using basic linear algebra. We identify three interpretable factors that, when simultaneously all present, cause double descent. We demonstrate on real data that both models' test losses diverge at the interpolation threshold and that the divergence disappears when we ablate any one of the three identified factors. We conclude by using our fresh perspective to shed light on recent observations in nonlinear models concerning superposition and double descent.","Rylan Schaeffer, Zachary Robertson, Akhilan Boopathy, Mikail Khona, Ila R Fiete, Andrey Gromov, Sanmi Koyejo","~Rylan_Schaeffer2, ~Zachary_Robertson1, ~Akhilan_Boopathy1, ~Mikail_Khona2, ~Ila_R_Fiete1, ~Andrey_Gromov1, ~Sanmi_Koyejo1","mechanistic interpretability, interpretability, double descent",visualization or interpretation of learned representations,ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=Uhxtq4nCzS,https://openreview.net/forum?id=Uhxtq4nCzS
BifeBRhikU,PB-LLM: Partially Binarized Large Language Models,"This paper explores network binarization, a radical form of quantization, compressing model weights to a single bit, specifically for Large Language Models (LLMs) compression. 
Due to previous binarization methods collapsing LLMs, we propose a novel approach, Partially-Binarized LLM (PB-LLM), which can achieve extreme low-bit quantization while maintaining the linguistic reasoning capacity of quantized LLMs. 
Specifically, our exploration first uncovers the ineffectiveness of naïve applications of existing binarization algorithms and highlights the imperative role of salient weights in achieving low-bit quantization. 
Thus, PB-LLM filters a small ratio of salient weights during binarization, allocating them to higher-bit storage, i.e., partially-binarization. 
PB-LLM is extended to recover the capacities of quantized LMMs, by analyzing from the perspective of post-training quantization (PTQ) and quantization-aware training (QAT). 
Under PTQ, combining the concepts from GPTQ, we reconstruct the binarized weight matrix guided by the Hessian matrix and successfully recover the reasoning capacity of PB-LLM in low-bit. 
Under QAT, we freeze the salient weights during training, explore the derivation of optimal scaling factors crucial for minimizing the quantization error, and propose a scaling mechanism based on this derived scaling strategy for residual binarized weights. 
Those explorations and the developed methodologies significantly contribute to rejuvenating the performance of low-bit quantized LLMs and present substantial advancements in the field of network binarization for LLMs. 
Code is available at https://github.com/hahnyuan/PB-LLM.","Zhihang Yuan, Yuzhang Shang, Zhen Dong","~Zhihang_Yuan1, ~Yuzhang_Shang1, ~Zhen_Dong3","Large Language Model, Network Compression",generative models,ICLR 2024 poster,2024,https://openreview.net/pdf?id=BifeBRhikU,https://openreview.net/forum?id=BifeBRhikU
xh3XUaB8M9,Visual Evidence Prompting Mitigates Hallucinations in Multimodal Large Language Models,"Despite the promising progress achieved, Large Vision-Language Models (LVLMs)  still suffer from the hallucination problem, i.e., they tend to predict objects and relations which are non-existent in the target images. These unfaithful outputs degrade the model performance and greatly harm the user experiences in real-world applications.  Fortunately, traditional small visual models excel at producing professional and faithful outputs, but they are not adept at interacting with humans. Therefore, this work explores how small visual models complement the LVLMs by effectively extracting contextual information from images to generate precise answers.
In particular, we show how such hallucination mitigates naturally in LVLMs via a simple method called visual evidence prompting, where a few visual knowledge evidences are provided as contexts in prompting. Experiments on three large language models show that visual evidence prompting improves performance on the evaluation of object hallucinations, as well as the new benchmark for relation hallucinations. We hope our work will not only serve as the minimal strongest baseline for the challenging hallucination benchmarks, but also highlight the importance of carefully exploring and analyzing the enormous visual evidence hidden inside small visual models before crafting ﬁnetuning LVLMs.","Wei Li, Zhen Huang, Houqiang Li, Le Lu, Yang Lu, Xinmei Tian, Xu Shen, Jieping Ye","~Wei_Li52, ~Zhen_Huang4, ~Houqiang_Li1, ~Le_Lu3, ~Yang_Lu5, ~Xinmei_Tian1, ~Xu_Shen1, ~Jieping_Ye4","Large Vision-Language Models, Hallucination, Visual model","representation learning for computer vision, audio, language, and other modalities",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=xh3XUaB8M9,https://openreview.net/forum?id=xh3XUaB8M9
