paper_id,title,abstract,authors,authorids,keywords,primary_area,venue,year,pdf_url,forum_url,author_ids,submission_date
0yqWGNFEJA,DMIL-Net: A Multi-View Fusion and Region Decoupling Network For Diffusion-Based Generative Image Forgery Localization,"With the increasing application of image generation technology in artistic creation and image editing, its potential for misuse in image forgery has also become increasingly prominent, posing new challenges to verifying image authenticity. In response to this issue, we propose the DMIL-Net. Specifically, we first design a multi-view feature learning strategy combining RGB views, noise views, and high-frequency information to fully capture clues from forgery regions. Secondly, we introduce multi-level contrastive learning to capture long-term dependencies across different modalities, leading to better fusion of multi-view features. Finally, we propose a forgery region decoupling and integration strategy, which iteratively decouples and integrates the body region and detail region to generate complete and detail-accurate localization results. In addition, we construct the DMI dataset, which contains 50,000 generative forgery images created via five prevalent diffusion-based generative image forgery methods, to support model training and testing. Experimental results show that DMIL-Net outperforms five mainstream methods on localization performance, generalization, extensibility, and robustness.",,,Generative Image Forgery Localization; Image Manipulation Detection; Forgery Image Dataset;  Diffusion Model,"applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=0yqWGNFEJA,https://openreview.net/forum?id=0yqWGNFEJA,,
1QaTq2NXD6,ACTIVE-o3 : Empowering MLLMs with Active Perception via Pure Reinforcement Learning,"Active vision, also known as active perception, refers to actively selecting where and how to look in order to gather task-relevant information. It is a critical component of efficient perception and decision-making in humans and advanced embodied agents. With the rise of Multimodal Large Language Models (MLLMs) as central planners in robotic systems, the lack of methods for equipping MLLMs with active perception has become a key gap. We first provide a systematic definition of MLLM-based active perception tasks and show that GPT-o3's zoom-in strategy can be viewed as a special case, though it suffers from low efficiency and inaccurate region selection. To address these issues, we propose Active-o3, a reinforcement learning framework built on GRPO that equips MLLMs with active perception capabilities. Leveraging a modular sensing-action design and a dual-form reward, Active-o3 autonomously learns efficient and stable region selection strategies without explicit supervision. We further establish a comprehensive benchmark covering both open-world tasks (small/dense-object grounding) and domain-specific scenarios (remote sensing, autonomous driving, interactive segmentation). Experimental results demonstrate that Active-o3 significantly enhances active perception capabilities compared to Qwen2.5-VL-CoT. Moreover, we show that our RL framework not only preserves the model’s general understanding ability but can also serve as a proxy task for leveraging perception data, further improving performance on benchmarks such as RealWorldQA. We hope that our work can provide a simple codebase and unified evaluation protocol to facilitate future research on active perception with MLLMs.",,,"vlm, RL, reasoning, MLLM","applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=1QaTq2NXD6,https://openreview.net/forum?id=1QaTq2NXD6,,
2EvMmC23sC,Critique-Guided Distillation for Efficient and Robust Language Model Reasoning,"Supervised fine-tuning (SFT) with expert demonstrations often suffers from the imitation problem, where models reproduce correct responses without internalizing the underlying reasoning. We propose $\text{C{\small RITIQUE-}G{\small UIDED} D{\small ISTILLATION} (CGD)}$, a multi-stage training framework that augments SFT with teacher-generated $\textit{explanatory critiques}$ and $\textit{refined responses}$. Instead of directly imitating teacher outputs, a student learns to map the triplet of prompt, its own initial response, and teacher critique into the refined teacher response, thereby capturing both $\textit{what}$ to output and $\textit{why}$. Our analyses show that $\text{CGD}$ consistently reduces refinement uncertainty, improves alignment between critiques and responses, and enhances sample efficiency. On reasoning benchmarks, $\text{CGD}$ achieves substantial gains across LLaMA and Qwen families, including +15.0\% on AMC23 and +12.2\% on MATH-500, while avoiding the format drift issues observed in prior critique-based fine-tuning. Importantly, on LLaMA-3.1-8B $\text{CGD}$ approaches or exceeds the performance of SimpleRL-Zero, which is a DeepSeek-R1 replication, while requiring 60x less compute. Beyond reasoning, $\text{CGD}$ maintains or improves general instruction-following and factual accuracy, matching baseline performance on IFEval, MUSR, TruthfulQA, and BBH. In contrast, prior critique-based methods degrade these capabilities (e.g., -21\% on IFEval). Taken together, these results establish $\text{CGD}$ as a robust and generalizable alternative to both conventional SFT and RL-based methods, offering a more efficient path toward advancing the reasoning and safety of large language models.",,,"Large Language Models, Knowledge Distillation, Critique, Iterative Refinement, Reasoning","foundation or frontier models, including LLMs",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=2EvMmC23sC,https://openreview.net/forum?id=2EvMmC23sC,,
2wFXD2upSQ,A Demon at Work: Leveraging Neuron Death for Efficient Neural Network Pruning,"When training deep neural networks, the phenomenon of ""dying neurons"" —units that become inactive and output zero throughout training—has traditionally been viewed as undesirable, linked with optimization challenges, and contributing to plasticity loss, particularly in continual learning scenarios. In this paper, we reassess this phenomenon through the lens of network sparsity and pruning. By systematically exploring the influence of various hyperparameter configurations on the occurrence of dying neurons, we unveil their potential to facilitate simple yet effective structured pruning algorithms. We introduce ""Demon's Pruning"" (DemP), a method that controls the proliferation of dead neurons, dynamically sparsifying neural networks as training progresses. Remarkably, our approach, characterized by its simplicity and broad applicability,  outperforms existing structured pruning techniques, while achieving results comparable to prevalent unstructured pruning methods. These findings pave the way for leveraging dying neurons as a valuable resource for efficient model compression and optimization.","Simon Dufort-Labbé, Pierluca D'Oro, Evgenii Nikishin, Razvan Pascanu, Pierre-Luc Bacon, Aristide Baratin","~Simon_Dufort-Labbé1, ~Pierluca_D'Oro1, ~Evgenii_Nikishin1, ~Razvan_Pascanu1, ~Pierre-Luc_Bacon1, ~Aristide_Baratin1","Pruning, Sparsity, Deep Learning, Regularization, Model Compression","unsupervised, self-supervised, semi-supervised, and supervised representation learning",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=2wFXD2upSQ,https://openreview.net/forum?id=2wFXD2upSQ,,
2XBBumBGeP,sRGB Real Noise Modeling via Noise-Aware Sampling with Normalizing Flows,"Noise poses a widespread challenge in signal processing, particularly when it comes to denoising images. Although convolutional neural networks (CNNs) have exhibited remarkable success in this field, they are predicated upon the belief that noise follows established distributions, which restricts their practicality when dealing with real-world noise. To overcome this limitation, several efforts have been taken to collect noisy image datasets from the real world. Generative methods, employing techniques such as generative adversarial networks (GANs) and normalizing flows (NFs), have emerged as a solution for generating realistic noisy images. Recent works model noise using camera metadata, however requiring metadata even for sampling phase. In contrast, in this work, we aim to estimate the underlying camera settings, enabling us to improve noise modeling and generate diverse noise distributions. To this end, we introduce a new NF framework that allows us to both classify noise based on camera settings and generate various noisy images. Through experimental results, our model demonstrates exceptional noise quality and leads in denoising performance on benchmark datasets.","Dongjin Kim, Donggoo Jung, Sungyong Baik, Tae Hyun Kim","~Dongjin_Kim3, ~Donggoo_Jung1, ~Sungyong_Baik1, ~Tae_Hyun_Kim2","sRGB real noise modeling, Normalizing flow, Low-level vision","representation learning for computer vision, audio, language, and other modalities",ICLR 2024 poster,2024,https://openreview.net/pdf?id=2XBBumBGeP,https://openreview.net/forum?id=2XBBumBGeP,,
2YDSK1eiiD,What Can an LLM Flip if It Fails to Flip Coins?,"Large language models (LLMs) can often accurately describe probability distributions using natural language, yet they still struggle to generate faithful samples from them. This mismatch limits their use in tasks requiring reliable stochasticity, such as Monte Carlo methods, agent-based simulations, and randomized decision-making. We investigate this gap between knowledge and sampling in the context of Bernoulli distributions. We introduce Verbalized Rejection Sampling (VRS), a natural-language adaptation of classical rejection sampling that prompts the LLM to reason about and accept or reject proposed samples. Despite relying on the same Bernoulli mechanism internally, VRS substantially reduces sampling bias across models. We provide theoretical analysis showing that, under mild assumptions, VRS improves over direct sampling, with gains attributable to both the algorithm and prompt design. More broadly, our results show how classical probabilistic tools can be verbalized and embedded into LLM workflows to improve reliability, without requiring access to model internals or heavy prompt engineering.",,,"rejection sampling, large language models","probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=2YDSK1eiiD,https://openreview.net/forum?id=2YDSK1eiiD,,
3X3LuwzZrl,Multi-Label Node Classification with Label Influence Propagation,"Graphs are a complex and versatile data structure used across various domains, with possibly multi-label nodes playing a particularly crucial role. 
Examples include proteins in PPI networks with multiple functions and users in social or e-commerce networks exhibiting diverse interests. 
Tackling multi-label node classification (MLNC) on graphs has led to the development of various approaches. Some methods leverage graph neural networks (GNNs) to exploit label co-occurrence correlations, while others incorporate label embeddings to capture label proximity. However, these approaches fail to account for the intricate influences between labels in non-Euclidean graph data.
To address this issue, we decompose the message passing process in GNNs into two operations: propagation and transformation. 
We then conduct a comprehensive analysis and quantification of the influence correlations between labels in each operation. 
Building on these insights, we propose a novel model, Label Influence Propagation (LIP). 
Specifically, we construct a label influence graph based on the integrated label correlations. 
Then, we propagate high-order influences through this graph, dynamically adjusting the learning process by amplifying labels with positive contributions and mitigating those with negative influence.
Finally, our framework is evaluated on comprehensive benchmark datasets, consistently outperforming SOTA methods across various settings, demonstrating its effectiveness on MLNC tasks.","Yifei Sun, Zemin Liu, Bryan Hooi, Yang Yang, Rizal Fathony, Jia Chen, Bingsheng He","~Yifei_Sun1, ~Zemin_Liu1, ~Bryan_Hooi1, ~Yang_Yang35, ~Rizal_Fathony1, ~Jia_Chen2, ~Bingsheng_He1","graph neural networks, multi-label, node classification",learning on graphs and other geometries & topologies,ICLR 2025 Poster,2025,https://openreview.net/pdf?id=3X3LuwzZrl,https://openreview.net/forum?id=3X3LuwzZrl,,
49jkevjF6x,Multlingual Abstractive Event Extraction for the Real World,"Event extraction (EE) is a valuable tool for making sense of large amounts of unstructured data, with a wide range of real-world applications, from studying disease outbreaks to monitoring political violence. Current EE systems rely on cumbersome mention-level annotations, and event arguments are frequently restricted to ungrounded spans of text, which hinders the aggregation and analysis of extracted events. In this paper, we define a new abstractive event extraction (AEE) task that moves away from the surface form and instead requires a deeper
wholistic understanding of the input text. To support research in this direction, we release a new multilingual, expert-annotated event dataset called Lemonade, which covers 16 languages, including several for which no event dataset currently exists. Lemonade has 41,148 events, and is based on the Armed Conflict Location and Event Data Project, which has been collecting and coding data on political violence around the globe for over a decade. We introduce a novel zero-shot AEE system Zest that achieves a score of 57.2% F1 on Lemonade. With our supervised model that achieves 71.6% F1, they represent strong baselines for this new dataset.","Sina Semnani, Pingyue Zhang, Wanyue Zhai, Haozhuo Li, Ryan Beauchamp, Trey Billing, Katayoun Kishi, Manling Li, Monica Lam","~Sina_Semnani1, ~Pingyue_Zhang1, ~Wanyue_Zhai1, ~Haozhuo_Li1, ~Ryan_Beauchamp1, ~Trey_Billing1, ~Katayoun_Kishi1, ~Manling_Li1, ~Monica_Lam1","dataset, event extraction, multilingual, zero-shot, entity linking",datasets and benchmarks,Submitted to ICLR 2025,2025,https://openreview.net/pdf?id=49jkevjF6x,https://openreview.net/forum?id=49jkevjF6x,,
4CR5Uc9EYf,EraseDiff: Erasing Data Influence in Diffusion Models,"We introduce EraseDiff, an unlearning algorithm designed for diffusion models to address concerns related to data memorization. Our approach formulates the unlearning task as a constrained optimization problem, aiming to preserve the utility of the diffusion model on retained data while removing the information associated with the data to be forgotten. This is achieved by altering the generative process to deviate away from the ground-truth denoising procedure. 
To manage the computational complexity inherent in the diffusion process, we develop a first-order method for solving the optimization problem, which has shown empirical benefits. Extensive experiments and thorough comparisons with state-of-the-art algorithms demonstrate that EraseDiff effectively preserves the model's utility, efficacy, and efficiency.","Jing Wu, Trung Le, Munawar Hayat, Mehrtash Harandi","~Jing_Wu6, ~Trung_Le2, ~Munawar_Hayat2, ~Mehrtash_Harandi2","machine unlearning, diffusion model","alignment, fairness, safety, privacy, and societal considerations",ICLR 2025 Conference Withdrawn Submission,2025,https://openreview.net/pdf?id=4CR5Uc9EYf,https://openreview.net/forum?id=4CR5Uc9EYf,,
5XL8c0Vg9k,Infinite-parameter Large Language Model,"In the standard transformer architecture, increasing model parameters leads to linear growth in computational cost and activation memory. To address this issue, we propose a novel Infinite Parameter Large Language Model (IP-LLM) architecture that decouples model size from computational cost and device memory. Existing large language models are all fixed-parameter models, while human knowledge is infinite and expands daily. Finite parameters are inherently limited in their capacity to accommodate this boundless knowledge. Our IP-LLM architecture can potentially accommodate infinite knowledge, resolving this issue and laying the foundation for realizing a truly omniscient and omnipotent artificial general intelligence in the future.",Fei Ding,~Fei_Ding6,lifelong learning,"transfer learning, meta learning, and lifelong learning",Submitted to ICLR 2025,2025,https://openreview.net/pdf?id=5XL8c0Vg9k,https://openreview.net/forum?id=5XL8c0Vg9k,,
